time,value
2017-02-01 01:00:00,77
2017-02-01 02:00:00,76.6
2017-02-01 03:00:00,75.6
2017-02-01 04:00:00,75
2017-02-01 05:00:00,74.8
2017-02-01 06:00:00,74.9
2017-02-01 07:00:00,74
2017-02-01 08:00:00,73.3
2017-02-01 09:00:00,71.5
2017-02-01 10:00:00,70.5
2017-02-01 11:00:00,68.6
2017-02-01 12:00:00,72.9
2017-02-01 13:00:00,72.5
2017-02-01 14:00:00,71.8
2017-02-01 15:00:00,71
2017-02-01 16:00:00,72.3
2017-02-01 17:00:00,73.5
2017-02-01 18:00:00,74.7
2017-02-01 19:00:00,77.6
2017-02-01 20:00:00,77.2
2017-02-01 21:00:00,75.1
2017-02-01 22:00:00,73.7
2017-02-01 23:00:00,69.2
2017-02-01 00:00:00,64.1
2017-02-02 01:00:00,60.5
2017-02-02 02:00:00,33.2
2017-02-02 03:00:00,10
2017-02-02 04:00:00,10
2017-02-02 05:00:00,10
2017-02-02 06:00:00,11.5
2017-02-02 07:00:00,38
2017-02-02 08:00:00,70.5
2017-02-02 09:00:00,51.5
2017-02-02 10:00:00,13.7
2017-02-02 11:00:00,10
2017-02-02 12:00:00,10
2017-02-02 13:00:00,18.5
2017-02-02 14:00:00,59.8
2017-02-02 15:00:00,70.5
2017-02-02 16:00:00,75.6
2017-02-02 17:00:00,76
2017-02-02 18:00:00,71.1
2017-02-02 19:00:00,61.2
2017-02-02 20:00:00,53.2
2017-02-02 21:00:00,48
2017-02-02 22:00:00,32.4
2017-02-02 23:00:00,17.7
2017-02-02 00:00:00,11.7
2017-02-03 01:00:00,10
2017-02-03 02:00:00,12.6
2017-02-03 03:00:00,11
2017-02-03 04:00:00,11
2017-02-03 05:00:00,11
2017-02-03 06:00:00,11
2017-02-03 07:00:00,11
2017-02-03 08:00:00,11
2017-02-03 09:00:00,25.1
2017-02-03 10:00:00,70.1
2017-02-03 11:00:00,99
2017-02-03 12:00:00,99
2017-02-03 13:00:00,35.6
2017-02-03 14:00:00,12
2017-02-03 15:00:00,13.4
2017-02-03 16:00:00,40.1
2017-02-03 17:00:00,32.5
2017-02-03 18:00:00,17.7
2017-02-03 19:00:00,11
2017-02-03 20:00:00,11
2017-02-03 21:00:00,11.8
2017-02-03 22:00:00,27.8
2017-02-03 23:00:00,92
2017-02-03 00:00:00,99
2017-02-04 01:00:00,99
2017-02-04 02:00:00,99
2017-02-04 03:00:00,99
2017-02-04 04:00:00,99
2017-02-04 05:00:00,99
2017-02-04 06:00:00,99
2017-02-04 07:00:00,99
2017-02-04 08:00:00,99
2017-02-04 09:00:00,99
2017-02-04 10:00:00,99
2017-02-04 11:00:00,99
2017-02-04 12:00:00,99
2017-02-04 13:00:00,99
2017-02-04 14:00:00,99
2017-02-04 15:00:00,99
2017-02-04 16:00:00,99
2017-02-04 17:00:00,99
2017-02-04 18:00:00,99
2017-02-04 19:00:00,99
2017-02-04 20:00:00,99
2017-02-04 21:00:00,99
2017-02-04 22:00:00,99
2017-02-04 23:00:00,99
2017-02-04 00:00:00,99
2017-02-05 01:00:00,99
2017-02-05 02:00:00,99
2017-02-05 03:00:00,99
2017-02-05 04:00:00,99
2017-02-05 05:00:00,99
2017-02-05 06:00:00,99
2017-02-05 07:00:00,99
2017-02-05 08:00:00,99
2017-02-05 09:00:00,99
2017-02-05 10:00:00,99
2017-02-05 11:00:00,99
2017-02-05 12:00:00,99
2017-02-05 13:00:00,99
2017-02-05 14:00:00,99
2017-02-05 15:00:00,99
2017-02-05 16:00:00,99
2017-02-05 17:00:00,99
2017-02-05 18:00:00,99
2017-02-05 19:00:00,99
2017-02-05 20:00:00,99
2017-02-05 21:00:00,99
2017-02-05 22:00:00,84.7
2017-02-05 23:00:00,92.5
2017-02-05 00:00:00,99
2017-02-06 01:00:00,79
2017-02-06 02:00:00,91.5
2017-02-06 03:00:00,99
2017-02-06 04:00:00,99
2017-02-06 05:00:00,99
2017-02-06 06:00:00,99
2017-02-06 07:00:00,99
2017-02-06 08:00:00,99
2017-02-06 09:00:00,99
2017-02-06 10:00:00,99
2017-02-06 11:00:00,99
2017-02-06 12:00:00,79.9
2017-02-06 13:00:00,25
2017-02-06 14:00:00,25
2017-02-06 15:00:00,25
2017-02-06 16:00:00,25
2017-02-06 17:00:00,25
2017-02-06 18:00:00,25
2017-02-06 19:00:00,25
2017-02-06 20:00:00,33.2
2017-02-06 21:00:00,44.5
2017-02-06 22:00:00,22.6
2017-02-06 23:00:00,21
2017-02-06 00:00:00,21
2017-02-07 01:00:00,21
2017-02-07 02:00:00,21
2017-02-07 03:00:00,14.2
2017-02-07 04:00:00,12.2
2017-02-07 05:00:00,15.1
2017-02-07 06:00:00,20.9
2017-02-07 07:00:00,20.5
2017-02-07 08:00:00,16.5
2017-02-07 09:00:00,10
2017-02-07 10:00:00,10
2017-02-07 11:00:00,10
2017-02-07 12:00:00,10
2017-02-07 13:00:00,10
2017-02-07 14:00:00,10
2017-02-07 15:00:00,10
2017-02-07 16:00:00,12.3
2017-02-07 17:00:00,27.8
2017-02-07 18:00:00,40.5
2017-02-07 19:00:00,48.8
2017-02-07 20:00:00,51.7
2017-02-07 21:00:00,55.6
2017-02-07 22:00:00,51.8
2017-02-07 23:00:00,46.6
2017-02-07 00:00:00,40.7
2017-02-08 01:00:00,41.2
2017-02-08 02:00:00,51
2017-02-08 03:00:00,56.4
2017-02-08 04:00:00,60.8
2017-02-08 05:00:00,64
2017-02-08 06:00:00,66.5
2017-02-08 07:00:00,68.7
2017-02-08 08:00:00,70.7
2017-02-08 09:00:00,72.5
2017-02-08 10:00:00,73.4
2017-02-08 11:00:00,73.7
2017-02-08 12:00:00,73.5
2017-02-08 13:00:00,73
2017-02-08 14:00:00,73.7
2017-02-08 15:00:00,72.8
2017-02-08 16:00:00,73.8
2017-02-08 17:00:00,76
2017-02-08 18:00:00,77.6
2017-02-08 19:00:00,77
2017-02-08 20:00:00,77.4
2017-02-08 21:00:00,77.5
2017-02-08 22:00:00,77
2017-02-08 23:00:00,76.2
2017-02-08 00:00:00,75.9
2017-02-09 01:00:00,75.3
2017-02-09 02:00:00,75
2017-02-09 03:00:00,74.9
2017-02-09 04:00:00,74.1
2017-02-09 05:00:00,73.2
2017-02-09 06:00:00,71.3
2017-02-09 07:00:00,69.7
2017-02-09 08:00:00,69
2017-02-09 09:00:00,68.9
2017-02-09 10:00:00,68.6
2017-02-09 11:00:00,69.1
2017-02-09 12:00:00,69.8
2017-02-09 13:00:00,70.1
2017-02-09 14:00:00,70.9
2017-02-09 15:00:00,71.2
2017-02-09 16:00:00,72.2
2017-02-09 17:00:00,73.3
2017-02-09 18:00:00,74.7
2017-02-09 19:00:00,74.8
2017-02-09 20:00:00,75.1
2017-02-09 21:00:00,75.3
2017-02-09 22:00:00,75
2017-02-09 23:00:00,75.8
2017-02-09 00:00:00,76.1
2017-02-10 01:00:00,74.7
2017-02-10 02:00:00,74
2017-02-10 03:00:00,74.4
2017-02-10 04:00:00,73.3
2017-02-10 05:00:00,71.8
2017-02-10 06:00:00,70.9
2017-02-10 07:00:00,70.1
2017-02-10 08:00:00,71
2017-02-10 09:00:00,72.2
2017-02-10 10:00:00,73
2017-02-10 11:00:00,72.3
2017-02-10 12:00:00,72.2
2017-02-10 13:00:00,71.8
2017-02-10 14:00:00,70.5
2017-02-10 15:00:00,69
2017-02-10 16:00:00,70.6
2017-02-10 17:00:00,70.2
2017-02-10 18:00:00,71.3
2017-02-10 19:00:00,67.3
2017-02-10 20:00:00,60.7
2017-02-10 21:00:00,56.5
2017-02-10 22:00:00,53.8
2017-02-10 23:00:00,54.2
2017-02-10 00:00:00,54.8
2017-02-11 01:00:00,55.5
2017-02-11 02:00:00,61.3
2017-02-11 03:00:00,65.1
2017-02-11 04:00:00,68
2017-02-11 05:00:00,69.4
2017-02-11 06:00:00,71.4
2017-02-11 07:00:00,73.6
2017-02-11 08:00:00,75.7
2017-02-11 09:00:00,76.2
2017-02-11 10:00:00,74.1
2017-02-11 11:00:00,70
2017-02-11 12:00:00,67.8
2017-02-11 13:00:00,68.7
2017-02-11 14:00:00,67.2
2017-02-11 15:00:00,67.2
2017-02-11 16:00:00,67
2017-02-11 17:00:00,68.6
2017-02-11 18:00:00,71.9
2017-02-11 19:00:00,74.8
2017-02-11 20:00:00,75.4
2017-02-11 21:00:00,76.3
2017-02-11 22:00:00,77.7
2017-02-11 23:00:00,79.3
2017-02-11 00:00:00,80
2017-02-12 01:00:00,80
2017-02-12 02:00:00,80
2017-02-12 03:00:00,79.4
2017-02-12 04:00:00,78
2017-02-12 05:00:00,76.9
2017-02-12 06:00:00,76
2017-02-12 07:00:00,76
2017-02-12 08:00:00,75.1
2017-02-12 09:00:00,73.7
2017-02-12 10:00:00,71.8
2017-02-12 11:00:00,69.4
2017-02-12 12:00:00,66.9
2017-02-12 13:00:00,67.5
2017-02-12 14:00:00,68
2017-02-12 15:00:00,68
2017-02-12 16:00:00,66.6
2017-02-12 17:00:00,68.2
2017-02-12 18:00:00,71.3
2017-02-12 19:00:00,74.8
2017-02-12 20:00:00,76.3
2017-02-12 21:00:00,77
2017-02-12 22:00:00,78
2017-02-12 23:00:00,78.5
2017-02-12 00:00:00,76.7
2017-02-13 01:00:00,74
2017-02-13 02:00:00,70.6
2017-02-13 03:00:00,65.8
2017-02-13 04:00:00,58.7
2017-02-13 05:00:00,52.6
2017-02-13 06:00:00,46.9
2017-02-13 07:00:00,41.2
2017-02-13 08:00:00,32.5
2017-02-13 09:00:00,21.9
2017-02-13 10:00:00,23
2017-02-13 11:00:00,23.2
2017-02-13 12:00:00,24.9
2017-02-13 13:00:00,32.8
2017-02-13 14:00:00,40.7
2017-02-13 15:00:00,44.6
2017-02-13 16:00:00,49.2
2017-02-13 17:00:00,51.5
2017-02-13 18:00:00,52.2
2017-02-13 19:00:00,51.7
2017-02-13 20:00:00,51.3
2017-02-13 21:00:00,52.4
2017-02-13 22:00:00,50.7
2017-02-13 23:00:00,40.5
2017-02-13 00:00:00,17.6
2017-02-14 01:00:00,12.2
2017-02-14 02:00:00,22.4
2017-02-14 03:00:00,23.5
2017-02-14 04:00:00,21.8
2017-02-14 05:00:00,20.9
2017-02-14 06:00:00,20.6
2017-02-14 07:00:00,20.2
2017-02-14 08:00:00,19.4
2017-02-14 09:00:00,17.9
2017-02-14 10:00:00,13.5
2017-02-14 11:00:00,10
2017-02-14 12:00:00,10
2017-02-14 13:00:00,10
2017-02-14 14:00:00,10.3
2017-02-14 15:00:00,41.3
2017-02-14 16:00:00,55.8
2017-02-14 17:00:00,57.1
2017-02-14 18:00:00,65.2
2017-02-14 19:00:00,70.8
2017-02-14 20:00:00,71.7
2017-02-14 21:00:00,73.5
2017-02-14 22:00:00,73
2017-02-14 23:00:00,69.6
2017-02-14 00:00:00,67.1
2017-02-15 01:00:00,63.9
2017-02-15 02:00:00,59.3
2017-02-15 03:00:00,52.4
2017-02-15 04:00:00,43.6
2017-02-15 05:00:00,29.7
2017-02-15 06:00:00,11.5
2017-02-15 07:00:00,10.9
2017-02-15 08:00:00,10
2017-02-15 09:00:00,10
2017-02-15 10:00:00,10
2017-02-15 11:00:00,21.4
2017-02-15 12:00:00,54.2
2017-02-15 13:00:00,47.1
2017-02-15 14:00:00,35.3
2017-02-15 15:00:00,32.5
2017-02-15 16:00:00,28.9
2017-02-15 17:00:00,29.5
2017-02-15 18:00:00,36.6
2017-02-15 19:00:00,52.5
2017-02-15 20:00:00,58.4
2017-02-15 21:00:00,62.8
2017-02-15 22:00:00,70.4
2017-02-15 23:00:00,73.7
2017-02-15 00:00:00,72.5
2017-02-16 01:00:00,70.7
2017-02-16 02:00:00,68.3
2017-02-16 03:00:00,65.6
2017-02-16 04:00:00,57.1
2017-02-16 05:00:00,49.7
2017-02-16 06:00:00,43.7
2017-02-16 07:00:00,26.1
2017-02-16 22:00:00,18
2017-02-23 23:00:00,45.2
2017-02-23 00:00:00,41.6
2017-02-24 01:00:00,62.4
2017-02-24 02:00:00,36.3
2017-02-24 03:00:00,32.5
2017-02-24 04:00:00,49.9
2017-02-24 05:00:00,51.6
2017-02-24 06:00:00,53.7
2017-02-24 07:00:00,49.8
2017-02-24 08:00:00,60.9
2017-02-24 09:00:00,66.5
2017-02-24 10:00:00,66
2017-02-24 11:00:00,58.5
2017-02-24 12:00:00,51.2
2017-02-24 13:00:00,52.2
2017-02-24 14:00:00,57.4
2017-02-24 15:00:00,61.3
2017-02-24 16:00:00,63.6
2017-02-24 17:00:00,53
2017-02-24 18:00:00,65.2
2017-02-24 19:00:00,68.4
2017-02-24 20:00:00,65.8
2017-02-24 21:00:00,69.6
2017-02-24 22:00:00,69.9
2017-02-24 23:00:00,70.9
2017-02-24 00:00:00,71.3
2017-02-25 01:00:00,69.1
2017-02-25 02:00:00,69.5
2017-02-25 03:00:00,68.7
2017-02-25 04:00:00,68
2017-02-25 05:00:00,68.7
2017-02-25 06:00:00,62.4
2017-02-25 07:00:00,46.5
2017-02-25 08:00:00,41.7
2017-02-25 09:00:00,40.2
2017-02-25 10:00:00,46.7
2017-02-25 11:00:00,42.2
2017-02-25 12:00:00,52
2017-02-25 13:00:00,57.2
2017-02-25 14:00:00,63.2
2017-02-25 15:00:00,59.8
2017-02-25 16:00:00,56
2017-02-25 17:00:00,49.4
2017-02-25 18:00:00,54.5
2017-02-25 19:00:00,62.3
2017-02-25 20:00:00,65.9
2017-02-25 21:00:00,68.3
2017-02-25 22:00:00,66
2017-02-25 23:00:00,70.2
2017-02-25 00:00:00,70.4
2017-02-26 01:00:00,68.2
2017-02-26 02:00:00,67.7
2017-02-26 03:00:00,64.3
2017-02-26 04:00:00,66.7
2017-02-26 05:00:00,69.5
2017-02-26 06:00:00,71.5
2017-02-26 07:00:00,70.3
2017-02-26 08:00:00,68.2
2017-02-26 09:00:00,64
2017-02-26 10:00:00,54.4
2017-02-26 11:00:00,50.3
2017-02-26 12:00:00,52.4
2017-02-26 13:00:00,41.9
2017-02-26 14:00:00,35
2017-02-26 15:00:00,35
2017-02-26 16:00:00,35
2017-02-26 17:00:00,35.4
2017-02-26 18:00:00,42.2
2017-02-26 19:00:00,46
2017-02-26 20:00:00,46
2017-02-26 21:00:00,46
2017-02-26 22:00:00,46
2017-02-26 23:00:00,46
2017-02-26 00:00:00,46
2017-02-27 01:00:00,46
2017-02-27 02:00:00,46
2017-02-27 03:00:00,46
2017-02-27 04:00:00,46
2017-02-27 05:00:00,46
2017-02-27 06:00:00,46
2017-02-27 07:00:00,46
2017-02-27 08:00:00,46
2017-02-27 09:00:00,46
2017-02-27 10:00:00,46
2017-02-27 11:00:00,46
2017-02-27 12:00:00,46
2017-02-27 13:00:00,46
2017-02-27 14:00:00,46
2017-02-27 15:00:00,46
2017-02-27 16:00:00,46
2017-02-27 17:00:00,46
2017-02-27 18:00:00,46
2017-02-27 19:00:00,46
2017-02-27 20:00:00,46
2017-02-27 21:00:00,45.3
2017-02-27 22:00:00,42.5
2017-02-27 23:00:00,49.2
2017-02-27 00:00:00,55.5
2017-02-28 01:00:00,61.6
2017-02-28 02:00:00,62.7
2017-02-28 03:00:00,65.2
2017-02-28 04:00:00,68.4
2017-02-28 05:00:00,67
2017-02-28 06:00:00,66
2017-02-28 07:00:00,63.6
2017-02-28 08:00:00,58.3
2017-02-28 09:00:00,51.4
2017-02-28 10:00:00,52.6
2017-02-28 11:00:00,55.8
2017-02-28 12:00:00,47.6
2017-02-28 13:00:00,43.3
2017-02-28 14:00:00,44.7
2017-02-28 15:00:00,48.3
2017-02-28 16:00:00,50.7
2017-02-28 17:00:00,51.8
2017-02-28 18:00:00,52.3
2017-02-28 19:00:00,54.2
2017-02-28 20:00:00,55.8
2017-02-28 21:00:00,59.2
2017-02-28 22:00:00,59.2
2017-02-28 23:00:00,57.2
